Реквизит	Описание	Имя в API	Значение по умолчанию	Regex	Идентификатор	Отображать	Обязателен для заполнения	ТипЗначения	Перечисление	Порядок
Имя диска в Linux	Имя диска в linux - типа sdX	name		^sd[a-z]{1}$	b6f42fb3-d603-447a-bc83-6efc053d2984	Да	Да	строка		30
Размер диска	Размер диска в мегабайтах. Может быть от 100 до 67108860 Мб	size		[ 100 .. 67108860 ]	d4de2f70-28b1-4c75-8b97-4d29f86f89f7	Да	Да	число		31
Тип диска	"Тип диска:

thin - 'Тонкий' диск. При выборе данного типа размер диска на физическом носителе будет занимать только необходимое место (по объему информации) хранящейся на виртуальном диске. Крайне не рекомендуется использовать в продуктивной среде
thick - 'Толстый' диск. Занимает на диске ровно столько, сколько указано в его размерах."	type			9203f710-92a7-407c-83ce-e62c6b401f40	Да	Да	строка	type	32
Метка диска	Метка диска - может быть произвольной	label		^[a-zA-Z0-9-_]{1,50}$	655ab198-88a9-4030-b532-c59a0d433098	Да	Да	строка		33
Имя datastore в VMWare	Имя datastore в VMWare где будет расположен этот виртуальный диск	datastore			b0f431ef-1658-450b-b052-1f57bd4eab70	Да	Да	строка		34
Номер SCSI-порта	Номер виртуального SCSI-порта, к которому подключено устройство. Может быть от 0 до 127. 7-ой номер зарезервирован VMWare	unit_number		[ 0 .. 127 ]	76787b96-93cb-4353-a803-e9d63cb58b8a	Нет	Да	число		35
Точка монтирования	Точка монтирования. Обязательно должна начинаться от "/", может быть произвольной.	mount_folder		^\/([\d\w ]+)?$	53ea3026-61aa-44bc-b978-44c2afb93dbb	Да	Да	строка		36
										
Количество дисков		disks			cba48746-01d2-447a-aea1-f2de5f9787f2	Да	Да	строка	count	9
Флаг удаления vm	Этот флаг указывает, удалять ли vm если она существует. True - удалять	delete_vm_if_exist	false		0dda2bce-80eb-4267-bceb-e5d65ec609e0	Нет	Нет	булево		10
Флаг добавления в домен	Этот флаг указывает добавлять ли эту VM в домен. True - добавлять	add_to_AD	false		fce2775e-c459-433d-8a6d-bab4e6d5d435	Нет	Нет	булево		11
Количество CPU	Количество ядер выделяемое на VM	host_cpu		[ 1 .. 254 ]	f0120859-eaba-4375-8406-d5246d55f72c	Да	Да	число		12
CPU на сокет	Количество ядер на один виртуальный сокет для VM	num_cpu_cores_per_socket		[ 1 .. 254 ]	33b87b64-682a-4156-a026-8c0204b199a3	Да	Да	число		13
Память	Количество памяти в Mb на одну VM	host_memory		[ 100 .. 4194304 ]	9babe544-26f4-4e82-9a65-fbe957bdf672	Да	Да	число		14
Имя хоста	Имя хоста как в VMWare так и в ОС	hostname_vm		^[\w\-]{1,16}$	16c48c20-6b01-43e3-ac97-ec66f86fc499	Да	Да	строка		15
IP-адрес VM	IP-адрес VM	host_ip			ecf8448d-c9e2-462a-9a6b-e97f7ecb25b9	Да	Да	строка		16
Маска сети	Маска сети для этого хоста в формате 255.255.255.255	host_netmask			1f3841a0-9b66-4219-8683-52ad8602ce14	Да	Да	строка		17
Шлюз по умолчанию	Шлюз по умолчанию	host_gateway			d87e1f86-835b-4ab6-8cf2-5e769730b51e	Да	Да	строка		18
VLAN	Наименование vlan-а в VMWare	host_vmware_vlan			b8bcf056-3dc9-4afa-85c5-1efc9221221b	Да	Да	строка		19
Login в AD	Имя учетной записи с правами ввода компьютера в домен	domain_admin_login			e06581b7-523e-4103-8763-88578fe94e8b	Да	Да	строка		20
Пароль учетки в AD	Пароль для учетной записи с правами ввода компьютера в домен	domain_admin_pass			a6d1f80f-e09a-4c74-84f6-9736c5a79431	Да	Да	строка		21
vSphere host	Имя хоста vSphere для подключения	vcenter_hostname			b6d23240-abd5-48d6-964b-7d4a5f66a36c	Да	Да	строка		22
vSphere Login	Имя пользователя для подключения к vSphere	vcenter_username			83b68b18-0452-4b4c-9322-1831d5ec0e12	Да	Да	строка		23
vSphere Password	Пароль для подключения к vSphere	vcenter_password			fc74b985-3935-4fc5-9fcd-6f398fcb9c06	Да	Да	строка		24
Имя датацентра	Имя датацентра, где будет располагаться VM	vcenter_datacenter			03f2a0a1-6352-4d0b-89fd-1bb39bb610c2	Да	Да	строка		25
Имя кластера	Имя кластера, где будет располагаться VM	vcenter_cluster			fe7e04c7-1f51-46fe-bc2c-06596c5b6331	Да	Да	строка		26
Имя папки	Имя папки, где будет располагаться VM	vmware_folder			67a807b9-16bc-48c5-a205-6b1be4e6d8c8	Да	Да	строка		27
Имя темплейта	Имя темплейта, из которого будет создана VM	vm_template			0a3369e2-5140-4fa3-addb-1957288e9c97	Да	Да	строка		28
Тип операционной системы	Какой тип операционной системы выбирать	os_type			e9f6d867-3803-40aa-a9e5-7aacbfcbe997	Да	Да	строка	os_type	29
Имя темплейта	Имя темплейта, из которого будет создана VM	locale	ru_RU.UTF-8		b752dce1-3907-48a5-9426-71c737e76aea	Да	Нет	строка		30
Часовой пояс	Часовой пояс для выставления времени	time_zone	Europe/Moscow		acc52cfb-495b-436c-8958-8dd31ed578b6	Да	Нет	строка	time_zone	31
Login из темплейта	Имя пользователя из темплейта	ansible_user			e5945d19-5f54-456d-9659-cbb170b2cb34	Да	Да	строка		32
Пароль для ssh	Пароль, который ansible использует для ssh-соединений	ansible_ssh_pass			db7b5704-c0d6-4732-a2fd-5d130f7afcce	Да	Да	строка		33
Пароль для ssh	Пароль, который ansible использует для получения повышенных привилегий на целевом сервере при настройке и установке софта	ansible_become_password			cd277761-3298-4ae3-856f-96737786512c	Да	Да	строка		34
Имя домена	Домен компании	domain			1d365c8a-db8e-49a2-b5f9-4645c0861bc5	Да	Да	строка		35
Список DNS	Список DNS серверов	dns_servers			cfa9e63f-1418-401a-8271-f3cd5f5682d8	Да	Да	СписокЗначений		36
Список DNS AD	Список DNS серверов обслуживающих домен	ad_dns_servers			ba46c453-3177-45c0-be1c-5d3bab7e32f0	Да	Да	СписокЗначений		37
Список NTP серверов обслуживающих домен	NTP сервер	ntp_servers			08554f19-f973-4817-85a4-19fb92badd5e	Да	Да	СписокЗначений		38
Папка под данные	Папка для данных под docker	docker_data_folder			d237c239-3bdd-478a-a141-9f39a923010e	Да	Да	строка		39
Подсетка для Docker-а	Подсеть для сетевых интерфейсов docker (предпочтительно 192.168.128.0/17)	docker_global_network			aaec85e2-013c-42df-a1f1-4334256a7fa6	Да	Да	строка		40
OU расположения	Путь к OU где должна распологаться учетная запись компьютера в distinguished name формате	linux_comp_ou		^((ou|uid|cn|OU|UID|CN)=[^,]+,){0,}((dc|DC)=[^,]+,)?(dc|DC)=[^,]+$	9cdd6733-fc42-4c85-a318-2096669e3c66	Да	Да	строка		41
										
Login для ssh	Имя пользователя, который ansible использует для ssh-соединений	ansible_user			4c982f65-4f4e-465d-b6ec-215067e5992b	Да	Да	строка		41
Пароль для ssh	Пароль, который ansible использует для ssh-соединений	ansible_ssh_pass			057d9c58-6e89-49cf-a7b6-602cd147e2bc	Да	Да	строка		42
Пароль для ssh	Пароль, который ansible использует для получения повышенных привилегий на целевом сервере при настройке и установке софта	ansible_become_password			e037f2e4-ac9d-4660-9c38-ae70836d370e	Да	Да	строка		43
IP-адрес	IP-адрес VM	host_ip			5e2b07f6-1330-46f8-b133-8b894167867a	Да	Да	строка		44
